"Designator,""Footprint"",""Mid X"",""Mid Y"",""Ref X"",""Ref Y"",""Pad X"",""Pad Y"",""Layer"",""Rotation"",""Comment"""
"R186,""1206_ReflowSoldering_RES"",""8205mil"",""2165mil"",""8205mil"",""2165mil"",""8205mil"",""2222.087mil"",""T"",""270.00"",""RES_1206_1%_100PPM_2.7R"""
"R185,""0603_ReflowSoldering_RES"",""7980mil"",""2255mil"",""7980mil"",""2255mil"",""7980mil"",""2228.6mil"",""T"",""90.00"",""RES_0603_1%_100PPM_100K"""
"R184,""0603_ReflowSoldering_RES"",""7775mil"",""2260mil"",""7775mil"",""2260mil"",""7775mil"",""2233.6mil"",""T"",""90.00"",""RES_0603_1%_100PPM_100K"""
"R179,""0603_ReflowSoldering_RES"",""5840mil"",""1995mil"",""5840mil"",""1995mil"",""5813.6mil"",""1995mil"",""T"",""360.00"",""RES_0603_1%_100PPM_4.7K"""
"R177,""0603_ReflowSoldering_RES"",""8087.5mil"",""2687.5mil"",""8087.5mil"",""2687.5mil"",""8087.5mil"",""2661.1mil"",""T"",""90.00"",""RES_0603_1%_100PPM_2.2K"""
"R176,""0603_ReflowSoldering_RES"",""8431.25mil"",""1393.75mil"",""8431.25mil"",""1393.75mil"",""8457.65mil"",""1393.75mil"",""T"",""180.00"",""RES_0603_1%_100PPM_4.7K"""
"R168,""0603_ReflowSoldering_RES"",""3010mil"",""2230mil"",""3010mil"",""2230mil"",""3036.4mil"",""2230mil"",""T"",""180.00"",""RES_0603_1%_100PPM_9.1K"""
"R158,""0603_ReflowSoldering_RES"",""408.6mil"",""990mil"",""408.6mil"",""990mil"",""382.2mil"",""990mil"",""T"",""360.00"",""RES_0603_1%_100PPM_4.7K"""
"R157,""0603_ReflowSoldering_RES"",""408.6mil"",""925mil"",""408.6mil"",""925mil"",""382.2mil"",""925mil"",""T"",""360.00"",""RES_0603_1%_100PPM_4.7K"""
"R156,""0603_ReflowSoldering_RES"",""275mil"",""825mil"",""275mil"",""825mil"",""248.6mil"",""825mil"",""T"",""360.00"",""RES_0603_1%_100PPM_1K"""
"R155,""0603_ReflowSoldering_RES"",""160mil"",""825mil"",""160mil"",""825mil"",""186.4mil"",""825mil"",""T"",""180.00"",""RES_0603_1%_100PPM_1K"""
"R154,""0603_ReflowSoldering_RES"",""60mil"",""880mil"",""60mil"",""880mil"",""60mil"",""906.4mil"",""T"",""270.00"",""RES_0603_1%_100PPM_200K"""
"R153,""0603_ReflowSoldering_RES"",""3400mil"",""2105mil"",""3400mil"",""2105mil"",""3373.6mil"",""2105mil"",""T"",""360.00"",""RES_0603_1%_100PPM_680R"""
"R145,""0603_ReflowSoldering_RES"",""3010mil"",""2145mil"",""3010mil"",""2145mil"",""2983.6mil"",""2145mil"",""T"",""360.00"",""RES_0603_1%_100PPM_47K"""
"R141,""0603_ReflowSoldering_RES"",""1941.4mil"",""185mil"",""1941.4mil"",""185mil"",""1915mil"",""185mil"",""T"",""360.00"",""RES_0603_1%_100PPM_10K"""
"R137,""0603_ReflowSoldering_RES"",""3395mil"",""1855mil"",""3395mil"",""1855mil"",""3368.6mil"",""1855mil"",""T"",""360.00"",""RES_0603_1%_100PPM_680R"""
"R129,""0603_ReflowSoldering_RES"",""2762.795mil"",""2125mil"",""2762.795mil"",""2125mil"",""2762.795mil"",""2151.4mil"",""T"",""270.00"",""RES_0603_1%_100PPM_10K"""
